
# Surface 0 of 1 surfaces

# Curve title: ""PPEReaction_contourtmp0.dat""

# Contour 0, label:       10
 4.59482 -1.71857  6 
 4.64735 -1.72463  6 
 4.69987 -1.73056  6 

-0.5 -1.69647  6 
-0.486355 -1.67677  6 
-0.459042 -1.63636  6 
-0.447476 -1.61883  6 
-0.430956 -1.59596  6 
-0.402496 -1.55556  6 
-0.394952 -1.54457  6 
-0.372123 -1.51515  6 
-0.342428 -1.47586  6 
-0.341438 -1.47475  6 
-0.306466 -1.43435  6 
-0.289904 -1.41467  6 
-0.268342 -1.39394  6 
-0.23738 -1.36331  6 
-0.224235 -1.35354  6 
-0.184856 -1.32337  6 
-0.164652 -1.31313  6 
-0.132332 -1.29624  6 
-0.0798081 -1.28296  6 
-0.0272841 -1.2833  6 
 0.0252399 -1.29667  6 
 0.0594727 -1.31313  6 
 0.0777639 -1.32166  6 
 0.125615 -1.35354  6 
 0.130288 -1.35656  6 
 0.176377 -1.39394  6 
 0.182812 -1.39901  6 
 0.221099 -1.43435  6 
 0.235336 -1.44712  6 
 0.263072 -1.47475  6 
 0.28786 -1.49878  6 
 0.303607 -1.51515  6 
 0.340384 -1.55239  6 
 0.343391 -1.55556  6 
 0.382813 -1.59596  6 
 0.392908 -1.60605  6 
 0.422933 -1.63636  6 
 0.445432 -1.65853  6 
 0.464247 -1.67677  6 
 0.497956 -1.70867  6 
 0.507309 -1.71717  6 
 0.55048 -1.75551  6 
 0.552968 -1.75758  6 
 0.602695 -1.79798  6 
 0.603004 -1.79823  6 
 0.655528 -1.83622  6 
 0.658913 -1.83838  6 
 0.708052 -1.86911  6 
 0.726342 -1.87879  6 
 0.760576 -1.89651  6 
 0.8131 -1.91839  6 
 0.815662 -1.91919  6 
 0.865624 -1.9345  6 
 0.918148 -1.94489  6 
 0.970672 -1.94988  6 
 1.0232 -1.94935  6 
 1.07572 -1.94389  6 
 1.12824 -1.93358  6 
 1.18049 -1.91919  6 
 1.18077 -1.91911  6 
 1.23329 -1.90063  6 
