
# Surface 0 of 1 surfaces

# Curve title: ""PPESurface_contourtmp0.dat""

# Contour 0, label:       10
 1.55488  1.83837  6 
 1.60096  1.81529  6 
 1.63794  1.79797  6 
 1.65348  1.79052  6 
 1.70601  1.76765  6 
 1.73234  1.75756  6 
 1.75853  1.74729  6 
 1.81106  1.72986  6 
 1.85876  1.71716  6 
 1.86358  1.71585  6 
 1.9161  1.70524  6 
 1.96863  1.69839  6 
 2.02115  1.6953  6 
 2.07367  1.69583  6 
 2.1262  1.69981  6 
 2.17872  1.70694  6 
 2.23125  1.71689  6 
 2.2324  1.71716  6 
 2.28377  1.72902  6 
 2.33629  1.74306  6 
 2.38525  1.75756  6 
 2.38882  1.75859  6 
 2.44134  1.7748  6 
 2.49387  1.79161  6 
 2.51367  1.79797  6 
 2.54639  1.80824  6 
 2.59891  1.82451  6 
 2.64584  1.83837  6 
 2.65144  1.83999  6 
 2.70396  1.85416  6 
 2.75649  1.86703  6 
 2.80901  1.87834  6 
 2.81142  1.87877  6 
 2.86153  1.88769  6 
 2.91406  1.89514  6 
 2.96658  1.90064  6 
 3.01911  1.90414  6 
 3.07163  1.90565  6 
 3.12415  1.90525  6 
 3.17668  1.90304  6 
 3.2292  1.89916  6 
 3.28173  1.8938  6 
 3.33425  1.88717  6 
 3.38677  1.8795  6 
 3.39125  1.87877  6 
 3.4393  1.87085  6 
 3.49182  1.86163  6 
 3.54435  1.85212  6 
 3.59687  1.84254  6 
 3.62019  1.83837  6 
 3.64939  1.83304  6 
 3.70192  1.82388  6 
 3.75444  1.81533  6 
 3.80697  1.80759  6 
 3.85949  1.80082  6 
 3.88571  1.79797  6 
 3.91201  1.79505  6 
 3.96454  1.79039  6 
 4.01706  1.787  6 
 4.06959  1.78486  6 
 4.12211  1.78398  6 
 4.17463  1.78431  6 
 4.22716  1.78578  6 
 4.27968  1.7883  6 
 4.3322  1.79174  6 
 4.38473  1.79598  6 
 4.40604  1.79797  6 
 4.43725  1.80081  6 
 4.48978  1.80607  6 
 4.5423  1.81167  6 
 4.59482  1.81745  6 
 4.64735  1.82325  6 
 4.69987  1.82891  6 

 0.79394  1.99999  6 
 0.760576  1.98666  6 
 0.708052  1.96057  6 
 0.706365  1.95958  6 
 0.655528  1.92912  6 
 0.640875  1.91918  6 
 0.603004  1.89295  6 
 0.58437  1.87877  6 
 0.55048  1.85244  6 
 0.533535  1.83837  6 
 0.497956  1.80818  6 
 0.486392  1.79797  6 
 0.445432  1.76096  6 
 0.441726  1.75756  6 
 0.39871  1.71716  6 
 0.392908  1.71158  6 
 0.356316  1.67675  6 
 0.340384  1.66122  6 
 0.313884  1.63635  6 
 0.28786  1.61132  6 
 0.270718  1.59595  6 
 0.235336  1.56341  6 
 0.225837  1.55554  6 
 0.182812  1.51897  6 
 0.177531  1.51514  6 
 0.130288  1.47992  6 
 0.121552  1.47474  6 
 0.0777639  1.448  6 
 0.0457908  1.43433  6 
 0.0252399  1.42529  6 
-0.0272841  1.41307  6 
-0.0798081  1.41276  6 
-0.132332  1.4249  6 
-0.152063  1.43433  6 
-0.184856  1.44957  6 
-0.220702  1.47474  6 
-0.23738  1.48613  6 
-0.269288  1.51514  6 
-0.289904  1.53339  6 
-0.310145  1.55554  6 
-0.342428  1.58997  6 
-0.347188  1.59595  6 
-0.3802  1.63635  6 
-0.394952  1.65397  6 
-0.411827  1.67675  6 
-0.442476  1.71716  6 
-0.447476  1.7236  6 
-0.471557  1.75756  6 
-0.5  1.79677  6 


# Contour 5, label:        5
 2.54639 -1.66424  5 
 2.58325 -1.67677  5 
 2.59891 -1.68196  5 
 2.65144 -1.69859  5 
 2.70396 -1.71411  5 
 2.71536 -1.71717  5 
 2.75649 -1.72795  5 
